id,name,position,team,vor,adp,bye,ppg
62,Matthew Golden,WR,GB,2.48,91.0,5.0,9.84
63,Tyreek Hill,WR,MIA,2.45,28.0,12.0,9.81
64,Travis Hunter,WR,JAX,2.4,68.0,8.0,9.76
65,Jordan Mason,RB,MIN,2.36,100.5,6.0,7.92
66,Aaron Jones,RB,MIN,2.36,63.5,6.0,7.92
67,Kaleb Johnson,RB,PIT,2.31,71.0,5.0,7.87
68,Jared Goff,QB,DET,2.21,99.5,8.0,10.25
69,Bo Nix,QB,DEN,2.19,78.5,12.0,10.23
70,Jameson Williams,WR,DET,2.05,59.5,8.0,9.41
71,DeVonta Smith,WR,PHI,2.0,54.5,9.0,9.36
72,Tyler Warren,TE,IND,1.9300000000000002,102.0,11.0,13.53
73,Tony Pollard,RB,TEN,1.9300000000000002,64.5,10.0,7.5
74,Dallas Cowboys,DEF,DAL,1.92,262.0,10.0,5.8
75,Patrick Mahomes,QB,KC,1.8900000000000001,59.0,10.0,9.93
76,Ka'imi Fairbairn,K,HOU,1.87,213.0,6.0,4.11
77,Xavier Worthy,WR,KC,1.76,58.5,10.0,9.11
78,Jerry Jeudy,WR,CLE,1.73,70.0,9.0,9.09
79,Mark Andrews,TE,BAL,1.6600000000000001,86.0,7.0,13.26
80,Cameron Dicker,K,LAC,1.63,202.0,12.0,3.87
81,Brock Purdy,QB,SF,1.6099999999999999,110.0,14.0,9.65
82,Courtland Sutton,WR,DEN,1.32,50.0,12.0,8.68
83,Jason Sanders,K,MIA,1.27,254.5,12.0,3.51
84,Justin Herbert,QB,LAC,1.25,111.5,12.0,9.29
85,Travis Kelce,TE,KC,1.21,70.0,10.0,12.81
86,Calvin Ridley,WR,TEN,1.15,67.0,10.0,8.51
87,Jordan Addison,WR,MIN,1.07,81.0,6.0,8.43
88,Wil Lutz,K,DEN,1.04,254.5,12.0,3.2800000000000002
89,Chase McLaughlin,K,TB,1.02,237.5,9.0,3.26
90,Kyler Murray,QB,ARI,0.97,91.5,8.0,9.01
91,Zay Flowers,WR,BAL,0.96,61.5,7.0,8.31
92,Cooper Kupp,WR,SEA,0.9400000000000001,87.5,8.0,8.29
93,Quinshon Judkins,RB,CLE,0.91,84.0,9.0,6.48
94,Minnesota Vikings,DEF,MIN,0.87,180.0,6.0,4.75
95,Marvin Harrison,WR,ARI,0.8300000000000001,40.0,8.0,8.19
96,Cam Ward,QB,TEN,0.73,164.5,10.0,8.76
97,Philadelphia Eagles,DEF,PHI,0.71,161.5,9.0,4.59
98,Zach Charbonnet,RB,SEA,0.67,103.0,8.0,6.24
99,DJ Moore,WR,CHI,0.65,46.5,5.0,8.0
100,Green Bay Packers,DEF,GB,0.4,251.5,5.0,4.28
101,Sam LaPorta,TE,DET,0.38,58.5,8.0,11.98
102,Jauan Jennings,WR,SF,0.18,101.0,14.0,7.54
103,Chris Godwin,WR,TB,0.11,84.0,9.0,7.47
104,Javonte Williams,RB,DAL,0.11,99.5,10.0,5.67
105,Sam Darnold,QB,SEA,0.0,180.5,8.0,8.04
106,Pittsburgh Steelers,DEF,PIT,0.0,172.5,5.0,3.88
107,Tyler Loop,K,BAL,0.0,265.0,7.0,2.24
108,Tyrone Tracy,RB,NYG,0.0,77.0,14.0,5.57
109,DK Metcalf,WR,PIT,0.0,50.0,5.0,7.36
110,Colston Loveland,TE,CHI,0.0,112.0,5.0,11.6
111,Jake Bates,K,DET,-0.13,209.5,8.0,2.11
112,J.K. Dobbins,RB,DEN,-0.13,113.0,12.0,5.43
113,Jake Elliott,K,PHI,-0.24,251.0,9.0,2.0
114,Deebo Samuel,WR,WAS,-0.26,84.0,12.0,7.09
115,Justin Fields,QB,NYJ,-0.31,114.5,9.0,7.73
116,David Njoku,TE,CLE,-0.38,103.5,9.0,11.22
117,Will Reichard,K,MIN,-0.64,299.0,6.0,1.6
118,Jayden Reed,WR,GB,-0.72,105.0,5.0,6.64
119,Drake Maye,QB,NE,-0.73,124.5,14.0,7.31
120,Darnell Mooney,WR,ATL,-0.8200000000000001,121.0,5.0,6.54
121,Rhamondre Stevenson,RB,NE,-0.84,108.0,14.0,4.72
122,Braelon Allen,RB,NYJ,-0.84,147.5,9.0,4.72
123,Daniel Carlson,K,LV,-0.96,299.5,8.0,1.28
124,George Pickens,WR,DAL,-1.11,64.5,10.0,6.25
125,Jakobi Meyers,WR,LV,-1.18,88.5,8.0,6.18
126,Jordan Love,QB,GB,-1.19,131.0,5.0,6.84
127,Chris Olave,WR,NO,-1.26,72.5,11.0,6.1
128,Stefon Diggs,WR,NE,-1.33,86.5,14.0,6.03
129,Tyler Bass,K,BUF,-1.3599999999999999,242.0,7.0,0.88
130,Rachaad White,RB,TB,-1.4,125.5,9.0,4.17
131,Younghoe Koo,K,ATL,-1.54,270.5,5.0,0.7000000000000001
132,Josh Downs,WR,IND,-1.73,111.5,11.0,5.63
133,Sean Tucker,RB,TB,-1.75,239.0,9.0,3.8200000000000003
